scope,libdays,distanceMajor,distanceMinor,distancePatch,releaseFrequencyPerMonth,numberOfMissedReleases,repository,packageIdent,version
devDependencies,0,0,0,0,0.16494845360824742,0,/bhima,/combined-stream,1.0.8
devDependencies,0,0,0,0,0.5747126436781609,0,/bhima,/mime-types,2.1.35
devDependencies,266,1,4,1,0.39773962182134315,12,/bhima,/formidable,2.1.2
devDependencies,0,0,0,0,0.05289139633286319,0,/bhima,/dezalgo,1.0.4
devDependencies,117,1,1,1,0.588494599955918,5,/bhima,/chai,4.4.1
devDependencies,-2,1,0,2,0.1763803680981595,3,/bhima,/deep-eql,4.1.4
devDependencies,0,0,0,0,1.0863757791629565,0,/bhima,/cssnano,7.0.4
devDependencies,0,0,0,0,0.7253649635036497,0,/bhima,/cssnano-preset-default,7.0.4
devDependencies,0,0,0,0,1.631368059530624,0,/bhima,/browserslist,4.23.2
devDependencies,0,0,0,0,0.7277628032345013,0,/bhima,/update-browserslist-db,1.1.0
devDependencies,0,0,0,0,0.2786377708978328,0,/bhima,/postcss-calc,10.0.0
devDependencies,50,0,0,1,0.4503152206544581,1,/bhima,/postcss-selector-parser,6.1.0
devDependencies,0,0,0,0,0.40071237756010686,0,/bhima,/postcss-colormin,7.0.1
devDependencies,0,0,0,0,0.4144282425172679,0,/bhima,/caniuse-api,3.0.0
devDependencies,0,0,0,0,0.3996282527881041,0,/bhima,/postcss-merge-longhand,7.0.2
devDependencies,0,0,0,0,0.28588994774054716,0,/bhima,/postcss-svgo,7.0.1
devDependencies,0,0,0,0,0.6790851214336241,0,/bhima,/svgo,3.3.2
devDependencies,0,0,0,0,0.28419856006062905,0,/bhima,/css-select,5.1.0
devDependencies,0,0,0,0,0.27926657263751764,0,/bhima,/domhandler,5.0.3
devDependencies,0,0,0,0,0.31405391258832765,0,/bhima,/domutils,3.1.0
devDependencies,0,0,0,0,0.17702186740715029,0,/bhima,/dom-serializer,2.0.0
devDependencies,0,0,0,0,0.6169665809768637,0,/bhima,/css-tree,2.3.1
devDependencies,0,0,0,0,0.6154615961971479,0,/bhima,/csso,5.0.5
devDependencies,121,0,1,1,0.6169665809768637,2,/bhima,/css-tree,2.2.1
devDependencies,463,1,1,0,0.24135876042908225,2,/bhima,/del,6.1.1
devDependencies,904,3,0,2,0.40152963671128106,17,/bhima,/globby,11.1.0
devDependencies,0,0,0,0,0.23659305993690852,0,/bhima,/dir-glob,3.0.1
devDependencies,0,0,0,0,0.4672523961661342,0,/bhima,/fast-glob,3.3.2
devDependencies,749,1,0,0,0.27308192457737324,1,/bhima,@nodelib/fs.walk,1.2.8
devDependencies,784,1,0,0,0.2682798527091005,1,/bhima,@nodelib/fs.scandir,2.1.5
devDependencies,0,0,0,0,0.20440881763527052,0,/bhima,/run-parallel,1.2.0
devDependencies,0,0,0,0,0.23756731073804244,0,/bhima,/fastq,1.17.1
devDependencies,207,1,0,2,0.19575856443719414,3,/bhima,/glob-parent,5.1.2
devDependencies,0,0,0,0,0.19378280177634236,0,/bhima,/is-glob,4.0.3
devDependencies,0,0,0,0,0.5887445887445888,0,/bhima,/micromatch,4.0.7
devDependencies,0,0,0,0,0.3171428571428571,0,/bhima,/braces,3.0.3
devDependencies,0,0,0,0,0.2857142857142857,0,/bhima,/fill-range,7.1.1
devDependencies,0,0,0,0,0.40358744394618834,0,/bhima,/to-regex-range,5.0.1
devDependencies,1489,3,0,2,0.19845644983461963,10,/bhima,/p-map,4.0.0
devDependencies,1118,2,0,0,0.12905748924520924,3,/bhima,/aggregate-error,3.1.0
devDependencies,1613,3,0,1,0.49581718016731274,30,/bhima,/rimraf,3.0.2
devDependencies,785,4,0,0,0.9380710659898478,52,/bhima,/glob,7.2.3
devDependencies,874,7,0,1,0.6960556844547564,62,/bhima,/minimatch,3.1.2
devDependencies,2208,3,0,0,0.15047518479408659,4,/bhima,/brace-expansion,1.1.11
devDependencies,0,0,0,0,0.665352390340069,0,/bhima,/eslint-config-airbnb-base,15.0.0
devDependencies,0,0,0,0,0.26219340287566956,0,/bhima,/object.assign,4.1.5
devDependencies,0,0,0,0,0.09454774661203907,0,/bhima,/define-properties,1.2.1
devDependencies,0,0,0,0,0.1346153846153846,0,/bhima,/object.entries,1.1.8
devDependencies,0,0,0,0,1.1842105263157894,0,/bhima,/eslint-plugin-import,2.29.1
devDependencies,0,0,0,0,0.20517395182872436,0,/bhima,/array-includes,3.1.8
devDependencies,0,0,0,0,0.6864784546805349,0,/bhima,/es-abstract,1.23.3
devDependencies,0,0,0,0,0.1764705882352941,0,/bhima,/array-buffer-byte-length,1.0.1
devDependencies,0,0,0,0,0.5714285714285714,0,/bhima,/arraybuffer.prototype.slice,1.0.3
devDependencies,0,0,0,0,0.16139878950907868,0,/bhima,/available-typed-arrays,1.0.7
devDependencies,0,0,0,0,20.0,0,/bhima,/data-view-buffer,1.0.1
devDependencies,0,0,0,0,60.0,0,/bhima,/is-data-view,1.0.1
devDependencies,0,0,0,0,0.17857142857142858,0,/bhima,/is-typed-array,1.1.13
devDependencies,0,0,0,0,0.17538161740824942,0,/bhima,/which-typed-array,1.1.15
devDependencies,0,0,0,0,0.05794302269435056,0,/bhima,/for-each,0.3.3
devDependencies,0,0,0,0,0.10619469026548672,0,/bhima,/es-to-primitive,1.2.1
devDependencies,0,0,0,0,0.12048192771084337,0,/bhima,/function.prototype.name,1.1.6
devDependencies,0,0,0,0,0.13432835820895522,0,/bhima,/regexp.prototype.flags,1.5.2
devDependencies,0,0,0,0,0.4629629629629629,0,/bhima,/safe-array-concat,1.1.2
devDependencies,0,0,0,0,0.0911854103343465,0,/bhima,/unbox-primitive,1.0.2
devDependencies,0,0,0,0,0.1829268292682927,0,/bhima,/which-boxed-primitive,1.0.2
devDependencies,0,0,0,0,0.27579162410623087,0,/bhima,/array.prototype.findlastindex,1.2.5
devDependencies,1288,1,3,5,0.47295817823516534,11,/bhima,/debug,3.2.7
devDependencies,307,1,0,0,0.41701769165964614,1,/bhima,/doctrine,2.1.0
devDependencies,0,0,0,0,0.1708185053380783,0,/bhima,/eslint-import-resolver-node,0.3.9
devDependencies,0,0,0,0,0.5937291527685123,0,/bhima,/resolve,1.22.8
devDependencies,-259,1,2,0,0.5905511811023622,5,/bhima,/tsconfig-paths,3.15.0
devDependencies,1,1,2,3,0.15507883173946757,10,/bhima,/json5,1.0.2
devDependencies,0,0,0,0,5.891858297078931,0,/bhima,/eslint-plugin-jsdoc,48.7.0
devDependencies,0,0,0,0,2.2622107969151672,0,/bhima,@es-joy/jsdoccomment,0.46.0
devDependencies,0,0,0,0,0.12743628185907047,0,/bhima,/esquery,1.6.0
devDependencies,0,0,0,0,0.26174496644295303,0,/bhima,/parse-imports,2.1.1
devDependencies,0,0,0,0,0.10880316518298715,0,/bhima,/spdx-expression-parse,4.0.0
devDependencies,192,0,0,1,0.8680851063829788,1,/bhima,/synckit,0.9.0
devDependencies,140,1,7,0,2.354694485842027,9,/bhima,/eslint,8.57.0
devDependencies,0,0,0,0,2.439024390243903,0,/bhima,@eslint-community/eslint-utils,4.4.0
devDependencies,167,1,1,0,0.947136563876652,4,/bhima,@eslint/eslintrc,2.1.4
devDependencies,1371,2,17,0,2.8009606724707297,43,/bhima,/ajv,6.12.6
devDependencies,0,0,0,0,0.13027295285359802,0,/bhima,/uri-js,4.4.1
devDependencies,338,1,1,0,0.7497845446710716,3,/bhima,/espree,9.6.1
devDependencies,204,2,8,0,0.9036613866528174,10,/bhima,/globals,13.24.0
devDependencies,0,0,0,0,0.16042780748663102,0,/bhima,/import-fresh,3.3.0
devDependencies,1630,2,1,0,0.06449301325689717,3,/bhima,/parent-module,1.0.1
devDependencies,0,0,0,0,0.6259055346276442,0,/bhima,/js-yaml,4.1.0
devDependencies,97,0,2,0,0.8229426433915211,4,/bhima,@humanwhocodes/config-array,0.11.14
devDependencies,698,1,3,0,0.29858999170583356,7,/bhima,/chalk,4.1.2
devDependencies,737,2,2,1,0.24114319738017267,8,/bhima,/ansi-styles,4.3.0
devDependencies,0,0,0,0,0.35093582887700536,0,/bhima,/color-convert,2.0.1
devDependencies,1034,2,4,0,0.4544077552256892,14,/bhima,/supports-color,7.2.0
devDependencies,0,0,0,0,0.7513914656771801,0,/bhima,/cross-spawn,7.0.3
devDependencies,0,0,0,0,0.08746355685131195,0,/bhima,/shebang-command,2.0.0
devDependencies,1379,2,0,0,0.22474460839954596,3,/bhima,/which,2.0.2
devDependencies,350,1,0,2,0.2244668911335578,3,/bhima,/eslint-scope,7.2.2
devDependencies,1189,3,0,0,0.16908929101156928,5,/bhima,/file-entry-cache,6.0.1
devDependencies,193,2,0,0,0.2577777777777778,3,/bhima,/flat-cache,3.2.0
devDependencies,0,0,0,0,0.6833114323258871,0,/bhima,/keyv,4.5.4
devDependencies,1191,2,0,0,0.15010006671114076,5,/bhima,/find-up,5.0.0
devDependencies,912,1,2,0,0.1453104359313078,4,/bhima,/locate-path,6.0.0
devDependencies,379,1,0,0,0.12075905692926969,1,/bhima,/p-locate,5.0.0
devDependencies,1321,3,1,0,0.19169329073482427,4,/bhima,/p-limit,3.1.0
devDependencies,0,0,0,0,0.12642225031605564,0,/bhima,/levn,0.4.1
devDependencies,0,0,0,0,0.15673981191222572,0,/bhima,/optionator,0.9.4
devDependencies,611,1,1,0,0.1735106998264893,3,/bhima,/strip-ansi,6.0.1
devDependencies,0,0,0,0,0.6362153344208809,0,/bhima,/gulp-concat,2.6.1
devDependencies,0,0,0,0,0.3443328550932568,0,/bhima,/concat-with-sourcemaps,1.1.0
devDependencies,601,2,0,2,0.45166402535657685,6,/bhima,/through2,2.0.5
devDependencies,307,2,5,2,0.6330935251798561,26,/bhima,/readable-stream,2.3.8
devDependencies,736,1,0,0,0.280986575085857,1,/bhima,/vinyl,2.2.1
devDependencies,0,0,0,0,0.22310361923648983,0,/bhima,/gulp-if,3.0.0
devDependencies,0,0,0,0,0.18798955613577023,0,/bhima,/ternary-stream,3.0.0
devDependencies,0,0,0,0,0.33994334277620397,0,/bhima,/duplexify,4.1.3
devDependencies,292,1,5,2,0.6330935251798561,10,/bhima,/readable-stream,3.6.2
devDependencies,0,0,0,0,0.20270270270270271,0,/bhima,/string_decoder,1.3.0
devDependencies,0,0,0,0,0.34116755117513264,0,/bhima,/gulp-iife,0.4.0
devDependencies,0,0,0,0,0.5277681959296309,0,/bhima,/gulp-less,5.0.0
devDependencies,0,0,0,0,0.590034965034965,0,/bhima,/less,4.2.0
devDependencies,861,2,0,2,0.4504504504504505,9,/bhima,/copy-anything,2.0.6
devDependencies,0,1,0,0,0.14276649746192893,1,/bhima,/errno,0.1.8
devDependencies,1886,3,0,0,0.14123185562965868,6,/bhima,/make-dir,2.1.0
devDependencies,0,0,0,0,0.7665982203969884,0,/bhima,/needle,3.3.1
devDependencies,0,0,0,0,0.41343669250646,0,/bhima,/iconv-lite,0.6.3
devDependencies,1777,1,0,1,0.07553956834532374,2,/bhima,/plugin-error,1.0.1
devDependencies,1547,3,1,3,0.36895674300254455,24,/bhima,/ansi-colors,1.1.0
devDependencies,0,0,0,0,0.3330486763450043,0,/bhima,/extend-shallow,3.0.2
devDependencies,0,0,0,0,0.14906832298136646,0,/bhima,/is-extendable,1.0.1
devDependencies,1155,3,0,0,0.17898118402937124,6,/bhima,/is-plain-object,2.0.4
devDependencies,0,0,0,0,0.19493177387914232,0,/bhima,/gulp-merge-json,2.2.1
devDependencies,0,0,0,0,0.280986575085857,0,/bhima,/vinyl,3.0.0
devDependencies,0,0,0,0,0.075,0,/bhima,/teex,1.0.1
devDependencies,0,0,0,0,0.5198685389901404,0,/bhima,/streamx,2.18.0
devDependencies,0,0,0,0,0.36697247706422015,0,/bhima,/text-decoder,1.1.1
devDependencies,0,0,0,0,0.3382480485689506,0,/bhima,/gulp-postcss,10.0.0
devDependencies,0,0,0,0,0.10376134889753567,0,/bhima,/fancy-log,2.0.0
devDependencies,32,1,0,1,0.2594594594594595,2,/bhima,/postcss-load-config,5.1.0
devDependencies,789,1,0,0,0.25888324873096447,1,/bhima,/gulp-rev-rewrite,5.0.0
devDependencies,1843,2,0,0,0.257689110556941,2,/bhima,/gulp-rev,9.0.0
